Layer Idx,Layer Name,Layer Type,Pass,Layer Class,Input Tensor dims,Input Tensor Size (Ki),Input Tensor Compression,Filter Size,Stride Size,Pad Size,Dilation Size,Group Size,Output Tensor Dims,Output Tensor Size (Ki),Output Tensor Compression,Weight Dims,Weight Tensor Compression,Weight Size (Ki),Layer MACs (M),Layer Compute OPS (M),Total Size (Ki),Input Sparsity,Output Sparsity,Parameter Sparsity,Compute Sparsity,Precision,TilingInfo
10,encoder_k_proj0,Dense,fwd,ConvOther,att_in(16;512;1024;1),16384.00,[1.0],1,1,0,1,1,encoder_k_proj0(16;512;1024.0;1),16384.00,[1.0],encoder_k_proj0_params(1048576.0),[1.0],2048.00,8589.93,17179.87,34816.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 1024.0, 'output_z': 1, 'max_k_slicing_combined': 1024, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 409.6, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 20, 'unit_grid_n': 4, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.6, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 1.6, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
11,encoder_k_reshape0,Reshape,fwd,TensorLayout,encoder_k_proj0(16;512;1024.0;1),16384.00,[1.0],1,1,0,1,1,encoder_k_reshape0(16;512;16;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
12,encoder_k_trans0,Transpose,fwd,TensorLayout,encoder_k_reshape0(16;512;16;64.0),16384.00,[1.0],1,1,0,1,1,encoder_k_trans0(16;16;64.0;512),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
13,encoder_v_proj0,Dense,fwd,ConvOther,att_in(16;512;1024;1),16384.00,[1.0],1,1,0,1,1,encoder_v_proj0(16;512;1024.0;1),16384.00,[1.0],encoder_v_proj0_params(1048576.0),[1.0],2048.00,8589.93,17179.87,34816.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 1024.0, 'output_z': 1, 'max_k_slicing_combined': 1024, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 409.6, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 20, 'unit_grid_n': 4, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.6, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 1.6, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
14,encoder_v_reshape0,Reshape,fwd,TensorLayout,encoder_v_proj0(16;512;1024.0;1),16384.00,[1.0],1,1,0,1,1,encoder_v_reshape0(16;512;16;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
15,encoder_v_trans0,Transpose,fwd,TensorLayout,encoder_v_reshape0(16;512;16;64.0),16384.00,[1.0],1,1,0,1,1,encoder_v_trans0(16;16;512;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
16,encoder_qk_mul0,MatMul,fwd,ConvOther,"encoder_q_trans0(16;16;512;64.0),encoder_k_trans0(16;16;64.0;512)",32768.00,"[1.0, 1.0]",1,1,0,1,1,encoder_qk_mul0(16;16;512;512),131072.00,[1.0],,[],0.00,4294.97,8589.93,163840.00,"[1, 1]",[1],[],1,2,"{'output_m': 512, 'output_n': 512, 'output_z': 1, 'max_k_slicing_combined': 64.0, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 256.0, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 2, 'unit_grid_n': 2, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.0, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 13.0, 'batch_scaling_factor': 256, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
17,encoder_qk_smax0,SoftMax,fwd,Activation,encoder_qk_mul0(16;16;512;512),131072.00,[1.0],1,1,0,1,1,encoder_qk_smax0(16;16;512;512),131072.00,[1.0],,[],0.00,0.00,2415.92,262144.00,[1],[1],[],1,2,{}
18,encoder_qk_dropout0,Dropout,fwd,Other,encoder_qk_smax0(16;16;512;512),131072.00,[1.0],1,1,0,1,1,encoder_qk_smax0(16;16;512;512),131072.00,[1.0],,[],0.00,0.00,0.00,262144.00,[1],[1],[],1,2,{}
19,encoder_qkv_mul0,MatMul,fwd,ConvOther,"encoder_qk_smax0(16;16;512;512),encoder_v_trans0(16;16;512;64.0)",147456.00,"[1.0, 1.0]",1,1,0,1,1,encoder_qkv_mul0(16;16;512;64.0),16384.00,[1.0],,[],0.00,4294.97,8589.93,163840.00,"[1, 1]",[1],[],1,2,"{'output_m': 512, 'output_n': 64.0, 'output_z': 1, 'max_k_slicing_combined': 512, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 512.0, 'tg_tile_size_n': 64, 'tg_tile_size_z': 1, 'unit_tile_size_m': 512.0, 'unit_tile_size_n': 64, 'unit_tile_size_z': 1, 'unit_grid_m': 1, 'unit_grid_n': 1, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.0, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 2.0, 'batch_scaling_factor': 256, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
20,encoder_qkv_mul_trans0,Transpose,fwd,TensorLayout,encoder_qkv_mul0(16;16;512;64.0),16384.00,[1.0],1,1,0,1,1,encoder_qkv_mul_trans0(16;512;16;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
21,encoder_qkv_mul_reshape0,Reshape,fwd,TensorLayout,encoder_qkv_mul_trans0(16;512;16;64.0),16384.00,[1.0],1,1,0,1,1,encoder_qkv_mul_reshape0(16;512;1024;1.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
22,encoder_att_out_project0,Dense,fwd,ConvOther,encoder_qkv_mul_reshape0(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_att_out_project0(16;512;1024;1.0),16384.00,[1.0],encoder_att_out_project0_params(1048576),[1.0],2048.00,8589.93,17179.87,34816.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 1024, 'output_z': 1, 'max_k_slicing_combined': 1024, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 409.6, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 20, 'unit_grid_n': 4, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.6, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 1.6, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
23,encoder_att_out_dropout0,Dropout,fwd,Other,encoder_att_out_project0(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_att_out_project0(16;512;1024;1.0),16384.00,[1.0],,[],0.00,0.00,0.00,32768.00,[1],[1],[],1,2,{}
24,encoder_att_out_res0,Add,fwd,Pointwise,"encoder_att_out_project0(16;512;1024;1.0),att_in(16;512;1024;1)",32768.00,"[1.0, 1.0]",1,1,0,1,1,encoder_att_out_res0(16;512;1024;1.0),16384.00,[1.0],,[],0.00,0.00,8.39,49152.00,"[1, 1]",[1],[],1,2,{}
25,encoder_att_out_layernorm0,LayerNorm,fwd,ConvOther,encoder_att_out_res0(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_att_out_layernorm0(16;512;1024;1.0),16384.00,[1.0],,[],0.00,8.39,67.13,32768.00,[1],[1],[],1,2,{}
26,encoder_ffn1_0,Dense,fwd,ConvOther,encoder_att_out_layernorm0(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_ffn1_0(16;512;4096;1.0),65536.00,[1.0],encoder_ffn1_0_params(4194304),[1.0],8192.00,34359.74,68719.48,90112.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 4096, 'output_z': 1, 'max_k_slicing_combined': 1024, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 819.2, 'unit_tile_size_n': 512.0, 'unit_tile_size_z': 1, 'unit_grid_m': 10, 'unit_grid_n': 8, 'unit_grid_z': 1, 'unit_tg_grid_m': 3.2, 'unit_tg_grid_n': 2.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 6.4, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
27,encoder_gelu_0,Gelu,fwd,Activation,encoder_ffn1_0(16;512;4096;1.0),65536.00,[1.0],1,1,0,1,1,encoder_gelu_0(16;512;4096;1.0),65536.00,[1.0],,[],0.00,0.00,1476.40,131072.00,[1],[1],[],1,2,{}
28,encoder_ffn2_0,Dense,fwd,ConvOther,encoder_gelu_0(16;512;4096;1.0),65536.00,[1.0],1,1,0,1,1,encoder_ffn2_0(16;512;1024;1.0),16384.00,[1.0],encoder_ffn2_0_params(4194304),[1.0],8192.00,34359.74,68719.48,90112.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 1024, 'output_z': 1, 'max_k_slicing_combined': 4096, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 409.6, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 20, 'unit_grid_n': 4, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.6, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 1.6, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
29,encoder_ffn2_dropout0,Dropout,fwd,Other,encoder_ffn2_0(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_ffn2_0(16;512;1024;1.0),16384.00,[1.0],,[],0.00,0.00,0.00,32768.00,[1],[1],[],1,2,{}
30,encoder_ffn2_res0,Add,fwd,Pointwise,"encoder_ffn2_0(16;512;1024;1.0),encoder_att_out_layernorm0(16;512;1024;1.0)",32768.00,"[1.0, 1.0]",1,1,0,1,1,encoder_ffn2_res0(16;512;1024;1.0),16384.00,[1.0],,[],0.00,0.00,8.39,49152.00,"[1, 1]",[1],[],1,2,{}
31,encoder_ffn2_layernorm0,LayerNorm,fwd,ConvOther,encoder_ffn2_res0(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_ffn2_layernorm0(16;512;1024;1.0),16384.00,[1.0],,[],0.00,8.39,67.13,32768.00,[1],[1],[],1,2,{}
32,encoder_q_proj1,Dense,fwd,ConvOther,encoder_ffn2_layernorm0(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_q_proj1(16;512;1024.0;1.0),16384.00,[1.0],encoder_q_proj1_params(1048576.0),[1.0],2048.00,8589.93,17179.87,34816.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 1024.0, 'output_z': 1, 'max_k_slicing_combined': 1024, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 409.6, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 20, 'unit_grid_n': 4, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.6, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 1.6, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
33,encoder_q_reshape1,Reshape,fwd,TensorLayout,encoder_q_proj1(16;512;1024.0;1.0),16384.00,[1.0],1,1,0,1,1,encoder_q_reshape1(16;512;16;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
34,encoder_q_trans1,Transpose,fwd,TensorLayout,encoder_q_reshape1(16;512;16;64.0),16384.00,[1.0],1,1,0,1,1,encoder_q_trans1(16;16;512;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
35,encoder_k_proj1,Dense,fwd,ConvOther,encoder_ffn2_layernorm0(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_k_proj1(16;512;1024.0;1.0),16384.00,[1.0],encoder_k_proj1_params(1048576.0),[1.0],2048.00,8589.93,17179.87,34816.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 1024.0, 'output_z': 1, 'max_k_slicing_combined': 1024, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 409.6, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 20, 'unit_grid_n': 4, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.6, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 1.6, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
36,encoder_k_reshape1,Reshape,fwd,TensorLayout,encoder_k_proj1(16;512;1024.0;1.0),16384.00,[1.0],1,1,0,1,1,encoder_k_reshape1(16;512;16;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
37,encoder_k_trans1,Transpose,fwd,TensorLayout,encoder_k_reshape1(16;512;16;64.0),16384.00,[1.0],1,1,0,1,1,encoder_k_trans1(16;16;64.0;512),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
38,encoder_v_proj1,Dense,fwd,ConvOther,encoder_ffn2_layernorm0(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_v_proj1(16;512;1024.0;1.0),16384.00,[1.0],encoder_v_proj1_params(1048576.0),[1.0],2048.00,8589.93,17179.87,34816.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 1024.0, 'output_z': 1, 'max_k_slicing_combined': 1024, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 409.6, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 20, 'unit_grid_n': 4, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.6, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 1.6, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
39,encoder_v_reshape1,Reshape,fwd,TensorLayout,encoder_v_proj1(16;512;1024.0;1.0),16384.00,[1.0],1,1,0,1,1,encoder_v_reshape1(16;512;16;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
40,encoder_v_trans1,Transpose,fwd,TensorLayout,encoder_v_reshape1(16;512;16;64.0),16384.00,[1.0],1,1,0,1,1,encoder_v_trans1(16;16;512;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
41,encoder_qk_mul1,MatMul,fwd,ConvOther,"encoder_q_trans1(16;16;512;64.0),encoder_k_trans1(16;16;64.0;512)",32768.00,"[1.0, 1.0]",1,1,0,1,1,encoder_qk_mul1(16;16;512;512),131072.00,[1.0],,[],0.00,4294.97,8589.93,163840.00,"[1, 1]",[1],[],1,2,"{'output_m': 512, 'output_n': 512, 'output_z': 1, 'max_k_slicing_combined': 64.0, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 256.0, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 2, 'unit_grid_n': 2, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.0, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 13.0, 'batch_scaling_factor': 256, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
42,encoder_qk_smax1,SoftMax,fwd,Activation,encoder_qk_mul1(16;16;512;512),131072.00,[1.0],1,1,0,1,1,encoder_qk_smax1(16;16;512;512),131072.00,[1.0],,[],0.00,0.00,2415.92,262144.00,[1],[1],[],1,2,{}
43,encoder_qk_dropout1,Dropout,fwd,Other,encoder_qk_smax1(16;16;512;512),131072.00,[1.0],1,1,0,1,1,encoder_qk_smax1(16;16;512;512),131072.00,[1.0],,[],0.00,0.00,0.00,262144.00,[1],[1],[],1,2,{}
44,encoder_qkv_mul1,MatMul,fwd,ConvOther,"encoder_qk_smax1(16;16;512;512),encoder_v_trans1(16;16;512;64.0)",147456.00,"[1.0, 1.0]",1,1,0,1,1,encoder_qkv_mul1(16;16;512;64.0),16384.00,[1.0],,[],0.00,4294.97,8589.93,163840.00,"[1, 1]",[1],[],1,2,"{'output_m': 512, 'output_n': 64.0, 'output_z': 1, 'max_k_slicing_combined': 512, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 512.0, 'tg_tile_size_n': 64, 'tg_tile_size_z': 1, 'unit_tile_size_m': 512.0, 'unit_tile_size_n': 64, 'unit_tile_size_z': 1, 'unit_grid_m': 1, 'unit_grid_n': 1, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.0, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 2.0, 'batch_scaling_factor': 256, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
45,encoder_qkv_mul_trans1,Transpose,fwd,TensorLayout,encoder_qkv_mul1(16;16;512;64.0),16384.00,[1.0],1,1,0,1,1,encoder_qkv_mul_trans1(16;512;16;64.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
46,encoder_qkv_mul_reshape1,Reshape,fwd,TensorLayout,encoder_qkv_mul_trans1(16;512;16;64.0),16384.00,[1.0],1,1,0,1,1,encoder_qkv_mul_reshape1(16;512;1024;1.0),16384.00,[1.0],,[],0.00,0.00,8.39,32768.00,[1],[1],[],1,2,{}
47,encoder_att_out_project1,Dense,fwd,ConvOther,encoder_qkv_mul_reshape1(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_att_out_project1(16;512;1024;1.0),16384.00,[1.0],encoder_att_out_project1_params(1048576),[1.0],2048.00,8589.93,17179.87,34816.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 1024, 'output_z': 1, 'max_k_slicing_combined': 1024, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 409.6, 'unit_tile_size_n': 256, 'unit_tile_size_z': 1, 'unit_grid_m': 20, 'unit_grid_n': 4, 'unit_grid_z': 1, 'unit_tg_grid_m': 1.6, 'unit_tg_grid_n': 1.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 1.6, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
48,encoder_att_out_dropout1,Dropout,fwd,Other,encoder_att_out_project1(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_att_out_project1(16;512;1024;1.0),16384.00,[1.0],,[],0.00,0.00,0.00,32768.00,[1],[1],[],1,2,{}
49,encoder_att_out_res1,Add,fwd,Pointwise,"encoder_att_out_project1(16;512;1024;1.0),encoder_ffn2_layernorm0(16;512;1024;1.0)",32768.00,"[1.0, 1.0]",1,1,0,1,1,encoder_att_out_res1(16;512;1024;1.0),16384.00,[1.0],,[],0.00,0.00,8.39,49152.00,"[1, 1]",[1],[],1,2,{}
50,encoder_att_out_layernorm1,LayerNorm,fwd,ConvOther,encoder_att_out_res1(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_att_out_layernorm1(16;512;1024;1.0),16384.00,[1.0],,[],0.00,8.39,67.13,32768.00,[1],[1],[],1,2,{}
51,encoder_ffn1_1,Dense,fwd,ConvOther,encoder_att_out_layernorm1(16;512;1024;1.0),16384.00,[1.0],1,1,0,1,1,encoder_ffn1_1(16;512;4096;1.0),65536.00,[1.0],encoder_ffn1_1_params(4194304),[1.0],8192.00,34359.74,68719.48,90112.00,[1],[1],[1],1,2,"{'output_m': 8192, 'output_n': 4096, 'output_z': 1, 'max_k_slicing_combined': 1024, 'thread_tile_size_m': 64.0, 'thread_tile_size_n': 32, 'thread_tile_size_z': 1, 'tg_tile_size_m': 256.0, 'tg_tile_size_n': 256, 'tg_tile_size_z': 1, 'unit_tile_size_m': 819.2, 'unit_tile_size_n': 512.0, 'unit_tile_size_z': 1, 'unit_grid_m': 10, 'unit_grid_n': 8, 'unit_grid_z': 1, 'unit_tg_grid_m': 3.2, 'unit_tg_grid_n': 2.0, 'unit_tg_grid_z': 1.0, 'k_slicing_factor_slm': 1, 'k_slicing_factor_global': 1, 'compute_waves': 6.4, 'batch_scaling_factor': 1, 'padding_m': 0, 'padding_n': 0, 'padding_z': 0}"
